# ============================================================
# RULES REMAPPED: Thị Trường Trung Quốc / Hongkong
# Nguồn: Rule hiện tại.xlsx → Tuyen tour cần chỉnh.xlsx
# Ghi chú: dấu phẩy trong keyword = AND condition
# ============================================================

Thị Trường      | Tuyến Tour                                                                       | Keyword(s)
Trung Quốc      | Hồ Nam | nghi xương
Trung Quốc      | Hồ Nam | phượng hoàng cổ trấn
Trung Quốc      | Hồ Nam | thiên môn sơn
Trung Quốc      | Hồ Nam | thường đức
Trung Quốc      | Hồ Nam | trương gia giới
Trung Quốc      | Hồ Nam | trường sa

# Đường Bộ Đông Hưng (tách từ Trung Quốc đường bộ + Quảng Tây cũ)
Trung Quốc      | TQ ĐB Đông Hưng | trà lĩnh, tịnh tây
Trung Quốc      | TQ ĐB Đông Hưng | thái bình cổ trấn
Trung Quốc      | TQ ĐB Đông Hưng | đông hưng

# Hongkong Mono (thị trường Hongkong)
Hongkong        | Hongkong Mono                                                                    | hong kong
Hongkong        | Hongkong Mono                                                                    | hongkong
Hongkong        | Hongkong Mono                                                                    | hồng kông

# Hongkong - Macau (thị trường Hongkong)
Hongkong        | Hongkong - Macau                                                                 | hồng kông, macau
Hongkong        | Hongkong - Macau                                                                 | macau

# === GIỮ NGUYÊN (tuyến cũ không thay đổi) ===
# Con đường tơ lụa
Trung Quốc      | Con đường tơ lụa                                                                 | tây ninh, đôn hoàng, lan châu
Trung Quốc      | Con đường tơ lụa                                                                 | đôn hoàng, lan châu
Trung Quốc      | Con đường tơ lụa                                                                 | gia dục quan
Trung Quốc      | Con đường tơ lụa                                                                 | minh sa sơn
Trung Quốc      | Con đường tơ lụa                                                                 | nguyệt nha tuyền
Trung Quốc      | Con đường tơ lụa                                                                 | đôn hoàng

# Cực Bắc Trung Quốc
Trung Quốc      | Cực Bắc Trung Quốc                                                               | cực bắc trung quốc

# Hải Nam - Tam Á
Trung Quốc      | Hải Nam - Tam Á                                                                  | hải nam, tam á
Trung Quốc      | Hải Nam - Tam Á                                                                  | hải khẩu
Trung Quốc      | Hải Nam - Tam Á                                                                  | hải nam
Trung Quốc      | Hải Nam - Tam Á                                                                  | nam sơn quan âm
Trung Quốc      | Hải Nam - Tam Á                                                                  | phố cổ kỳ lầu
Trung Quốc      | Hải Nam - Tam Á                                                                  | tam á
Trung Quốc      | Hải Nam - Tam Á                                                                  | thủy cung atlantis
Trung Quốc      | Hải Nam - Tam Á                                                                  | đảo phượng hoàng

# Nam Xương
Trung Quốc      | Nam Xương                                                                        | nam xương

# Nội Mông
Trung Quốc      | Nội Mông                                                                         | hải lạp nhĩ
Trung Quốc      | Nội Mông                                                                         | mãn châu lý
Trung Quốc      | Nội Mông                                                                         | nội mông
Trung Quốc      | Nội Mông                                                                         | ordos
Trung Quốc      | Nội Mông                                                                         | thảo nguyên

# Quý Châu - Tây Giang
Trung Quốc      | Quý Châu - Tây Giang                                                             | quý châu
Trung Quốc      | Quý Châu - Tây Giang                                                             | tiểu thất khổng
Trung Quốc      | Quý Châu - Tây Giang                                                             | tây giang

# Quý Dương
Trung Quốc      | Quý Dương                                                                        | quý dương, tây giang
Trung Quốc      | Quý Dương                                                                        | quý dương

# Tây Tạng
Trung Quốc      | Tây Tạng                                                                         | tây tạng, lhasa
Trung Quốc      | Tây Tạng                                                                         | cung điện potala
Trung Quốc      | Tây Tạng                                                                         | lhasa
Trung Quốc      | Tây Tạng                                                                         | tây tạng

# Trung Quốc - Triều Tiên
Trung Quốc      | Trung Quốc - Triều Tiên                                                          | trung quốc, triều tiên
Trung Quốc      | Trung Quốc - Triều Tiên                                                          | triều tiên

# Trung Quốc khác
Trung Quốc      | Trung Quốc khác                                                                  | cam túc
Trung Quốc      | Trung Quốc khác                                                                  | thanh hải
Trung Quốc      | Trung Quốc khác                                                                  | tây song bản nạp

